job_title;company_name;location;job_type;experience_level;education_req;salary_range;job_requirements;job_responsibilities;posted_date;source_platform
Private / Cloud Infrastructure Engineer;PT Daya Medika Pratama;Jakarta Pusat;Tidak Disebutkan;2 Tahun;S2, S1, D3;Rp 5.000.000 - Rp 8.000.000;"Requirements:
 •	5+ years of application deployment and operations experience on cloud platforms (AWS, GCP, Azure, etc.
 •	Experience creating and maintaining CI/CD pipelines.
 •	Experience with monitoring tools (Prometheus, Grafana, ELK Stack, etc.
 •	Working experience with container technologies such as Docker, Kubernetes, etc.
 •	Experience with scripting languages such as Python, Bash, etc.
 •	Experience with infrastructure code (Terraform, CloudFormation, Ansible, etc.
 •	Advanced troubleshooting skills and problem solving abilities.
 •	Communication skills to work collaboratively with team members.
 •	Project management skills.
 •	Excellent documentation skills.
 •	Experience in customer proposal/pre-sale.
 •	Experience with AI, ML and data lake implementation.
 •	Experience in handling cases in English.
 •	Knowledge of delivering engineered solutions with either private or hybrid cloud technologies
 •	Experience with engineering solution primarily VMware vSphere or VMware Cloud Foundation
 •	Experience with NSX-v, NSX-T, and NSX Advanced, Load Balancer, automation technology 
 •	Knowledge of CISCO ACI, Ansible, PowerShell, Python, C#, or Java script
 Skills that will help you in the role:
 •	ITIL accredited with at least one VMware qualification
 •	Understanding of on-premises cloud
 •	Preferred knowledge of HPE, Dell, and Cisco server hardware
 •	Good working knowledge of Windows and Linux";"In this position, you will create and maintain CI/CD pipelines, enhance application monitoring, containerize apps, and strengthen cloud-native deployments.
 Build automation tools, collaborate with teams, participate in delivery, comply with standards, document DevOps, and address production issues.
 You will also manage and develop team members and support them in applying DevOps principles.
 What will you be doing?
 •	You will be accountable for delivering infrastructure solutions that drive adoption of company and clients’ on-premises cloud
 •	Ensuring that any products and services delivered adhere to company and clients’ controls and security policies
 •	Managing the life cycling of vendor products to ensure that security updates and version updates are released within agreed timelines
 •	Keeping the private cloud up to date with the latest x86 server hardware specifications ensuring that the platform remains evergreen
 •	Providing updates to all stakeholders on product roadmaps including roadmap updates based on our vendor roadmaps
 •	Working with other teams to ensure that our engineered solutions are delivered as engineered
 •	Delivering to deadlines as required, taking ownership to ensure the success for our customers, both internally and externally";2026-05-19;Karir.com
Sales Supervisor - Maumere;PT Enseval Putera Megatrading, Tbk;Maumere;Tidak Disebutkan;2 Tahun;S1;Tidak dicantumkan;Pendidikan minimal D3 Pengalaman minimal 2 tahun untuk posisi yang sama atau minimal 3-5 tahun dibidang penjualan khususnya di sektro distribusi farmasi atau kesehatan Memiliki pemahaman terhadap produk farmasi dan regulasi distribusi yang terkait. Memiliki kemmapuan untuk mengelola tim sales agar efektif dan produktif Mampu menjalin hubungan dengan berbagai pihak Berorientasi pada hasil dengan kemampuan bekerjasama dengan berbagai pihak Memiliki kemampuan komunikasi yang baik Kuat dalam analisis data penjualan dan strategi pemasaran Bersedia ditempatkan di seluruh cabang Tri Sapta Jaya Penempatan : PT. Tri Sapta Jaya (Subsidiaris PT. Enseval Putera Megatrading) cabang Maumere (www.trisaptajaya.co.id);Bertanggungjawab untuk memimpin, mengelola dan memotivasi tim penjualan untuk mencapai target bulanan dan tahunan. Membina hubungan baik dengan pelanggan serta bekerjasama dengan pihak-pihak terkait dalam merancang dan melaksanakan strategi penjualan untuk meningkatkan pangsa pasar. Serta berkoordinasi dengan pihak terkait untuk memastikan kelancaran supply produk.;2026-05-19;Karir.com
Programmer;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;1 Tahun;S1;Tidak dicantumkan;"Laki - Laki & Perempuan
 Pendidikan Minimal S1 
 Pengalaman minimal 1 tahun
 Menguasai Java Play Framework";-;2026-05-18;Karir.com
Retail Operational Manager;PT Wynfield Global Ventures;Bandung;Tidak Disebutkan;2 Tahun;S1;Tidak dicantumkan;"Usia max 40 tahun
 Pendidikan Min. S1 
 Pengalaman min. 2 tahun di dunia retail ( fashion diutamakan )
 Memiliki leadership & kemampuan mengambil keputusan 
 Mahir dalam melakukan negosiasi 
 Memiiki kemampuan komunikasi yang baik
 Penguasaan bahasa inggris yang baik
 Domisili Bandung";-;2026-05-18;Karir.com
Suster;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;1 Tahun;D3;Tidak dicantumkan;"Usia maksimal 30 Tahun
 Minimal lulusan D3 keperawatan/Profesi Ners
 Wajib mempunyai STR aktif
 Pengalaman minimal 1 tahun (Fresh Graduate dipersilakan melamar)
 Jujur, teliti dan pandai bersosialisasi
 Profesional dan bertanggung jawab akan pekerjaan";Asistensi Dokter Menyiapkan peralatan yang akan dipakai untuk treatment Memberikan pelayanan dan informasi kepada pasien Bertanggung jawab dalam melakukan sterilisasi alat-alat medis dan pemakaian bahan medis;2026-05-18;Karir.com
Dokter Kecantikan;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;1 Tahun;S1;Tidak dicantumkan;"Usia maksimal 35 tahun
 Pendidikan S1 Kedokteran
 Memiliki STR yg masih aktif dan berlaku
 Komunikatif
 Memiliki motivasi tinggi dalam bekerja
 Berpengalaman minimal 1 tahun atau lebih dibidang Estetika
 Aktif dalam training dan bersertifikat pelatihan Estetika
 Tidak terikat kontrak dengan klinik kecantikan lain
 Bersedia bekerja full time";"Melayani konsultasi pasien sesuai SOP dan merekomendasikan perawatan sesuai kebutuhan pasien
 Bertanggung jawab terhadap klien dan klinik Menguasai tindakan estetika medis
 Melakukan tindakan medis sesuai SOP kedokteran dan klinik yang berlaku
 Memberikan layanan terbaik
 Melakukan supervisi terhadap beautician
 Biasa melakukan Botox, Filler, Threadlift terhadap pasien";2026-05-18;Karir.com
Therapist;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;1 Tahun;Apa Saja;Tidak dicantumkan;"Wanita Pendidikan minmal SMU sederajat Diperlukan 1 tahun pengalaman kerja yang relevan untuk posisi ini
 Pelamar harus memiliki KTP";"Melakukan pemijatan atau massage kepada seluruh pelanggan yang datang
 Melakukan perawatan tubuh kepada pelanggan yang datang ke spa
 Melakukan berbagai macam treatment kecantikan, mulai dari manicure, scrub, masker, serta masih banyak lagi treatment lain
 Mempromosikan treatment yang ditawarkan sebuah spa
 Menerima panggilan telepon untuk memberikan pelayanan kepada pelanggan Menguasai berbagai jenis treatment massage (Balinese massage, stone massage, reflexology, menicure, pedicure, dsb) 
 Memiliki pengalaman kerja minimal 1 tahun dibidang yang sama atau minimal pernah kursus di bidang spa bagi yang belum berpengalaman";2026-05-18;Karir.com
Beautician;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;1 Tahun;S1, D3, SMA;Tidak dicantumkan;"Minimal SMU, Diploma, Sajana semua jurusan
 Berpengalaman di bidang Beauty Care/klinik aestetik/SPA minimal 1 tahun sebagai Beautician/Therapist
 Disiplin dan memiliki kemampuan komunikasi yang baik";"Melakukan massage wajah/Facial
 Melakukan treatment wajah sesuai dengan kebutuhan klien
 Melakukan massage badan";2026-05-18;Karir.com
Host Live Streaming Tiktok;PT Wynfield Global Ventures;Bandung;Tidak Disebutkan;1 Tahun;Apa Saja;Tidak dicantumkan;• Mempunyai pengalaman dibidang livestreaming • Bisa review product dengan baik dan detail • Terbiasa menggunakan social media • Berdomisili Bandung;• Membangun interaksi dengan audiens selama live berlangsung. • Membuat konten untuk meningkatkan penjualan.;2026-05-18;Karir.com
Sales Canvasser (Nganjuk);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Sales Canvasser.;2026-05-18;Karir.com
Sales Canvasser (Semarang);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Sales Canvasser.;2026-05-18;Karir.com
Sales Canvasser (Blitar);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Sales Canvasser.;2026-05-18;Karir.com
Promotor (Batang);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Promotor.;2026-05-18;Karir.com
Promotor (Jepara);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Promotor.;2026-05-18;Karir.com
Promotor (Pati);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk Promotor.;2026-05-18;Karir.com
Tenaga Ahli Struktur Dermaga;PT Artha Demo Engineering Consultant;Bandung;Tidak Disebutkan;5 Tahun;S2, S1;Tidak dicantumkan;"•	Pendidikan minimal Strata-1 (S1) Teknik Sipil, Teknik Kelautan atau Ilmu Kelautan dari universitas dengan akreditasi yang baik. 
 •	Memiliki pengalaman kerja 1 - 3 tahun sebagai tenaga ahli kelautan atau spesialis teknik pantai pada proyek-proyek konsultansi perencanaan atau konstruksi kelautan. 
 • Memiliki Sertifikat Kompetensi Kerja (SKK) (diutamakan) Keahlian Perangkat Lunak (Software Skills):
 •	Wajib menguasai perangkat lunak pemodelan hidrodinamika dan pesisir utama: MIKE 21, Delft3D, atau SMS (Surface-water Modeling System).
 •	Menguasai perangkat lunak pendukung desain geometrik dan struktur konstruksi maritim: AutoCAD, Civil 3D, SAP2000, atau SACS (Structural Analysis Computer System).";"•	Melakukan pengumpulan, pengolahan, dan analisis data hidroseanografi (seperti pasang surut, gelombang, arus, dan batimetri) untuk mendukung kriteria desain perencanaan dermaga. 
 •	Melakukan perhitungan teknis dan pemodelan numerik terkait beban gelombang, abrasi, dan gaya hidrodinamika terhadap struktur bangunan pelabuhan. 
 •	Menyusun gambar rencana dan Detail Engineering Design (DED) untuk struktur kelautan, guna memastikan keandalan bangunan pada lingkungan perairan. 
 •	Memberikan rekomendasi teknis serta spesifikasi terkait pemilihan material yang tahan terhadap lingkungan korosif laut dan kondisi pesisir ekstrem. 
 •	Berkoordinasi dengan tim teknis lainnya (seperti Ahli Struktur, Ahli Geoteknik, dan Ahli Geodesi) untuk memastikan sinkronisasi desain struktur secara keseluruhan. 
 •	Melakukan pengawasan berkala pada masa konstruksi untuk memeriksa kesesuaian pelaksanaan pekerjaan dengan gambar dan spesifikasi teknis kelautan.";2026-05-18;Karir.com
Contact Center - Inbound;PT Bina Talenta;Prov. Banten;Tidak Disebutkan;1 Tahun;SMA;Rp 4.900.000 - Rp 4.974.392;"Single dan belum ada rencana menikah Usia maks. 28 Tahun
 Berpenampilan menarik Pendidikan min. SMA pengalaman Call Center atau Customer Service Memiliki kemampuan berkomunikasi yang baik (Tidak berlogat dan Cadel)
 Mampu berbahasa inggris aktif Memiliki jiwa service, ramah, dan artikulasi jelas saat berbicara Bersedia shifting dan Lembur
 Tidak ada rencana berkuliah Lokasi kerja : Bintaro - Tangerang Selatan dan Hayam Wuruk - Jakarta Barat";"Menerima setiap panggilan telepon yang masuk.
 Mendengarkan penjelasan dari pelanggan secara seksama dan merespon setiap keluhan pelanggan dengan sopan.";2026-05-18;Karir.com
OPERATOR FORKLIFT;PT Ara Samudra;Jakarta Pusat;Tidak Disebutkan;2 Tahun;S1, D3, SMA;Rp 5.000.000 - Rp 5.500.000;"- Pendidikan minimal SMA/SMK atau sederajat
 - Memiliki SIO (Surat Izin Operator) Forklift yang masih berlaku
 - Pengalaman sebagai operator forklift minimal 1 tahun (lebih disukai)
 - Mampu mengoperasikan forklift dengan baik dan memahami prosedur keselamatan
 - Sehat jasmani dan rohani
 - Teliti, disiplin, dan bertanggung jawab
 - Mampu bekerja secara tim maupun individu
 - Bersedia bekerja shift (jika diperlukan)
 - Memiliki kemampuan komunikasi yang baik";- Mengoperasikan forklift untuk memindahkan barang di area gudang atau pabrik secara aman dan efisien - Memuat dan menurunkan barang dari truk atau kontainer - Menyusun dan menata barang di rak sesuai dengan prosedur penyimpanan - Melakukan pengecekan kondisi forklift sebelum dan sesudah digunakan - Memastikan barang yang dipindahkan sesuai dengan dokumen (surat jalan / picking list) - Menjaga kebersihan dan kerapihan area kerja - Mematuhi standar keselamatan kerja (K3) dan prosedur operasional perusahaan - Melaporkan kerusakan alat atau kendala operasional kepada atasan - Membantu aktivitas gudang lainnya jika diperlukan (Seperti Administration);2026-05-19;Karir.com
PURCHASING;PT Ara Samudra;Jakarta Pusat;Tidak Disebutkan;2 Tahun;S1;Rp 5.000.000 - Rp 5.500.000;- Pendidikan minimal D3 - Pengalaman min 2 tahun sebagai Purchasing Staff diutamakan bidang Perbekalan Kapal - Memiliki keterampilan yang baik dalam berkomunikasi dan bernegosiasi - Memiliki tanggung jawab, kejujuran dan ketelitian - Mahir mengoperasikan Ms.Office - Mampu berbahasa Inggris (Min Pasif) - Dapat bekerja dengan baik secara mandiri ataupun tim;- Mencari vendor baru, dan menjaga hubungan baik dengan vendor - Mencari penawaran terbaik dari semua vendor - Bertanggung jawab dalam melakukan aktifitas pembelian dan pengadaan barang kapal dan jasa yang dibutuhkan untuk mendukung kegiatan operasional dan perkembangan bisnis perusahaan - Mengontrol budget dan stock barang - Membuat laporan harian / mingguan;2026-05-19;Karir.com
Partner Bisnis Asuransi;Power Vision;Prov. DKI-Jakarta;Tidak Disebutkan;1 Tahun;S2, S1, D3;Rp 5.000.000 - Rp 10.000.000;Bertanggung jawab Displin Mau belajar Punya Impian yang mau diwujudkan Lampirkan CV, pas Foto dan KTP;1. Melakukan edukasi penting nya asuransi dan perencanaan keuangan. 2. Bersedia mengikuti Training dan Meeting yang sudah ditentukan. 3. Bersedia memberikan pelayanan asuransi dengan Profesional.;2026-05-19;Karir.com
Profesional Agen Asuransi;Power Vision;Jakarta Barat;Tidak Disebutkan;3 Tahun;S1, D3;Rp 7.000.000 - Rp 15.000.000;silahkan lampirkan 1. Foto diri terbaru 2. CV terbaru yang lengkap 3. Tuliskan 3 impian anda dalam 5 Tahun kedepan;Melakukan Meeting Rutin mingguan bersama leader (Melaporkan semua aktivitas mingguan dan mendiskusikan mengenai capaian), Aktivitas (Melakukan aktivitas penjualan /selling dan aktivitas rekrut tim), Training online or offline yang diadakan. Memiliki komitmen yg tinggi terhadap pekerjaan dan memiliki attitude yang baik dalam bekerja dan membangun hubungan dengan semua orang.;2026-05-19;Karir.com
Life Insurance Professional;Power Vision;Jakarta Barat;Tidak Disebutkan;1 Tahun;S1, D3;Rp 5.000.000 - Rp 10.000.000;Melampirkan CV Melampirkan foto diri yang jelas Bersedia dihubungi melalui telp atau Whatsapp;Mengikuti meeting dan training rutin yang telah ditentukan Melakukan pertemuan untuk edukasi asuransi dan perencanaan keuangan Memberikan pelayanan asuransi yang profesional;2026-05-19;Karir.com
Agen Asuransi Profesional;Power Vision;Prov. DKI-Jakarta;Tidak Disebutkan;1 Tahun;S1;Rp 5.000.000 - Rp 20.000.000;Pendidikan minimal S1 Pengalaman 1-3 tahun di bidang yang relevan Ketrampilan teamwork yang kuat untuk bekerja dalam lingkungan tim Ketrampilan sales dan marketing untuk mengembangkan klien potensial Ketrampilan business development untuk menciptakan peluang bisnis baru;Deskripsi Pekerjaan: Power Vision adalah mitra dari PT. Prudential Life Assurance , perusahaan asuransi terkemuka di dunia dan Asia, serta salah satu perusahaan asuransi terkemuka di Indonesia. Power Vision telah mencetak puluhan ribu tenaga pemasaran dan ratusan leader di seluruh Indonesia. Tugas utama anda mencakup: Mengelola portofolio klien dan menjalin hubungan jangka panjang dengan mereka Membantu klien dalam memahami produk asuransi jiwa yang sesuai dengan kebutuhan mereka. Mengembangkan ketrampilam sales dan marketing untuk meningkatkan penjualan produk asuransi Mendorong penjualan baru dan memperluas basis klien Mengikuti pelatihan dan seminar untuk terus mengembangkan klien mendapatkan layanan purna jual yang berkualitas;2026-05-19;Karir.com
Sales Engineer;Perusahaan dirahasiakan;Bekasi;Tidak Disebutkan;0 Tahun;S1, D3;Rp 5.800.000 - Rp 6.000.000;Educational Qualifications: Bachelor’s degree in Engineering or a related field Experience Level: 0–2 years Skills and Competencies: Microsoft Office, AutoCAD, Proficient in communication skills, Negotiation, Creative Problem Solving, Teamwork, and Relationship Building Responsibilities and Duties: Experience in Sales Support and effective use of Salesforce Qualities and Traits: Strong communication skills and ability to work collaboratively;Develop and maintain strong relationships with clients to understand their needs and provide optimal solutions. Prepare and deliver compelling presentations to showcase products and services. Provide sales support by collaborating with cross-functional teams to address customer inquiries. Utilize Salesforce to manage customer interactions and track sales activities. Exhibit strong negotiation skills to close deals effectively.;2026-05-19;Karir.com
Quality Control;Perusahaan dirahasiakan;Bekasi;Tidak Disebutkan;0 Tahun;S1, D3;Rp 5.800.000 - Rp 6.000.000;Educational Qualifications: Diploma in a relevant field Experience Level: Entry Level (0–2 years) Skills and Competencies: Microsoft Office, AutoCAD, Quality Control, Data Processing, Problem Solving Skills, Quality Management, Lean Production, Quality Auditing Responsibilities and Duties: Ensure adherence to quality standards and regulations Working Conditions: Office and factory environment Qualities and Traits: Attention to detail, strong analytical skills, effective communication;Conduct quality inspections and tests on products to ensure compliance with standards. Monitor and analyze data to identify areas for improvement in processes. Collaborate with other departments to resolve quality issues effectively. Assist in maintaining documentation related to quality control procedures. Participate in audits and inspections to evaluate compliance with regulations.;2026-05-19;Karir.com
SALES MARKETING ENGINEERING;PT Sinar Surya Komunikatama;Jakarta Pusat;Tidak Disebutkan;2 Tahun;S2, S1;Rp 6.500.000 - Rp 8.500.000;If you have passion for telecommunications and enjoy working with cutting-edge fiber optic technology, we'd love to hear from you PT. Sinar Surya Komunikatama ( SSK ) is currently looking for Sales Engineer to support our growing business across Indonesia. The successful candidate will have the opportunity to work closely with contractors, operators, and data centre clients, while contributing to the delivery of high-quality testing and measurements solutions. You will also be involved in exciting projects within the rapidly growing telecom and digital infrastructure sector. We are looking for someone who has : Bachelor's degree in Telecommunication Engineering or Marketing ( Telecommunications, Electrical, Marketing. or related field ) Experience or strong interest in fiber optic solutions ( OTDR, Splicer, Bert , etc. ) Good understanding of telecom network deployment and testing Strong communication and client-facing skills Strong Organizational and time management skills High level of computer literacy Interest in business development and building long-term client relationships;Join the dynamic Sales team at PT Sinar Surya Komunikatama as a Sales Marketing Engineer, specialising in Fiber Optic Telecommunication Tools (Instrument) such as Splicer, OTDR, Bertest, Fault Locator, and Accessories. In this full-time position, you will play a pivotal role in driving sales growth and supporting the company's expansion in the Fast Growing Telkom Bussiness. What you'll be doing : Actively engage with existing and potential customers to understand their needs and provide tailored solutions Develop and execute effective sales strategies to expand the company's client base Conduct product demonstrations and technical presentations to showcase the features and benefits of our Fiber Optic Telecommunication offerings Collaborate with the marketing team to develop and implement targeted promotional campaigns Maintain detailed records of customer interactions and sales activities Provide post-sales support to ensure customer satisfaction and loyalty Stay up-to-date with industry trends, competitive landscape, and new product developments;2026-05-19;Karir.com
Cook Helper;PT Tirta Gracia Fiesta;Jakarta Selatan;Tidak Disebutkan;0 Tahun;Apa Saja;Tidak dicantumkan;Mau belajar, jujur, semangat tinggi, inisiatif, komunikatif, teliti, cekatan Pengalaman min 1th (fresh graduate dipertimbangkan) Bersedia bekerja shift dan masuk di hari libur (Sabtu/Minggu) atau hari libur nasional Penempatan di outlet manapun area Jakarta Selatan dan Jakarta Barat;Membantu Cook dalam menyiapkan bahan masakan Bisa menggantikan Cook jika cook sedang off (untuk yang bisa pegang wok) Bekerja sesuai dengan jadwal dan tugas sebagaimana diberikan oleh Leader;2026-05-19;Karir.com
Sales Supervisor - Semarang;PT Enseval Putera Megatrading, Tbk;Semarang;Tidak Disebutkan;2 Tahun;S1;Tidak dicantumkan;Pendidikan minimal D3 Pengalaman minimal 2 tahun untuk posisi yang sama atau minimal 3-5 tahun dibidang penjualan khususnya di sektro distribusi farmasi atau kesehatan Memiliki pemahaman terhadap produk farmasi dan regulasi distribusi yang terkait. Memiliki kemmapuan untuk mengelola tim sales agar efektif dan produktif Mampu menjalin hubungan dengan berbagai pihak Berorientasi pada hasil dengan kemampuan bekerjasama dengan berbagai pihak Memiliki kemampuan komunikasi yang baik Kuat dalam analisis data penjualan dan strategi pemasaran Bersedia ditempatkan di seluruh cabang Tri Sapta Jaya Penempatan : PT. Tri Sapta Jaya (Subsidiaris PT. Enseval Putera Megatrading) cabang Semarang (www.trisaptajaya.co.id);Bertanggungjawab untuk memimpin, mengelola dan memotivasi tim penjualan untuk mencapai target bulanan dan tahunan. Membina hubungan baik dengan pelanggan serta bekerjasama dengan pihak-pihak terkait dalam merancang dan melaksanakan strategi penjualan untuk meningkatkan pangsa pasar. Serta berkoordinasi dengan pihak terkait untuk memastikan kelancaran supply produk.;2026-05-19;Karir.com
Sistem informasi rumah sakit: staff implementasi dan support;PT Daya Medika Pratama;Jakarta Pusat;Tidak Disebutkan;2 Tahun;S1, D3;Rp 5.000.000 - Rp 8.000.000;"Responsibilities:
 •	Meeting with clients following the sale of software packages to collect data and other information required to customize software systems.
 •	Creating a project plan for each client, detailing the tasks that need to be completed for the timely installation of customized software systems.
 •	Communicating with clients throughout the software customization process to obtain feedback and approval.
 •	Customizing software systems based on clients’ individual needs and specifications.
 •	Educating clients via training on how to use purchased software systems and customized system features.
 •	Creating a specialized document for each client as required, detailing all customizations made.
 •	Installing customized software systems and all necessary components.
 •	Ensuring that the project team is aware of key deliverables and project milestones.
 •	Providing cost and time estimates to clients who require additional customizations to be done.
 •	Providing 2nd level support after system successfully implemented.
 Implementation Specialist Requirements:
 •	Bachelor's degree in computer science, engineering, computer information science, information technology, or a related field.
 •	Proven experience working as an system implementation and support specialist
 •	Sound technical knowledge.
 •	Proficiency in all Microsoft Office and Google Workspace applications.
 •	The ability to multitask effectively.
 •	The ability to work independently and as part of a team.
 •	Strong analytical and problem-solving skills.
 •	Excellent organizational and time management skills.
 •	Exceptional communication and customer service skills.
 •	Detail-oriented.";"We are seeking a highly skilled system implementation and support specialist to implement and support software systems for our clients. In this role, you will demonstrate how software systems work to clients and their users, and answer questions relating to implementation. You will also be required to ensure the client is satisfied with the implementation.
 Our products as follows:
 1.	Hospital Information System (HIS).
 2.	Insurance System.
 3.	Enterprise Resource Planning (ERP).
 4.	Education Manage.
 To be successful as an implementation specialist, you should be proficient with system functionalities, and able to work well as part of a team. Ultimately, an outstanding system implementation and support specialist should demonstrate sound technical knowledge as well as exceptional analytical, communication, and customer service skills.
 A brief about us: We have a very fun yet disciplined culture, a friendly environment that helps and pushes you to grow; and policies that make it not just possible but mandatory to learn, push your limits, and do great work that you will be proud of. We help and teach one another.";2026-05-19;Karir.com
Sales Balifiber JADETABEK;PT Rajawali Anugrah Resources;Jakarta Selatan;Tidak Disebutkan;0 Tahun;SMA;Rp 3.500.000 - Rp 6.000.000;"Pria/Wanita
 Minimal Smu/Smk
 Minimal usia 18 tahun dan maksimal 40 tahun
 Freshgraduate di persilahkan melamar
 Wajib ada motor
 Bisa chat langsung Pak Avim WA : 08561500304 / 08886100024";"- Menawarkan produk wifi internet ke customer / pelanggan ( sebar brosur )
 - DTD, Jaga Stand / Pameran dan Digital Marketing
 - Memaintance customer / pelanggan
 - Target penjualan
 - Report harian, mingguan dan bulanan ke leader / supervisor sales
 Bisa chat langsung Pak Avim WA : 08561500304 / 08886100024";2026-05-19;Karir.com
Electrical/Electronical Engineers;PT Bumi Cahaya Unggul;Jakarta Timur;Tidak Disebutkan;1 Tahun;S1, D3;Tidak dicantumkan;"Kecerdasan tinggi, kreatif, pekerja-keras, disiplin, kerja team
 Lebih disukai D3/S1 Teknik atau Fisika, lancar bhs. Inggris S.Ak. Jujur, teliti, cerdas, kerja team, bisa bahasa Inggris Sangat menguasai teori/praktek perlistrikan, Teknik control, mekatronik.
 Mahir membuat Diagram Logika Berurutan dan Pemrograman.";-;2026-05-19;Karir.com
Processing/Project Mgt. Engineers;PT Bumi Cahaya Unggul;Jakarta Timur;Tidak Disebutkan;1 Tahun;S1, D3;Tidak dicantumkan;"Kecerdasan tinggi, kreatif, pekerja-keras, disiplin, kerja team
 Lebih disukai D3/S1 Teknik atau Fisika, lancar bhs. Inggris S.Ak. Jujur, teliti, cerdas, kerja team, bisa bahasa Inggris";-;2026-05-19;Karir.com
Accounting;PT Bumi Cahaya Unggul;Jakarta Timur;Tidak Disebutkan;1 Tahun;S1, D3;Tidak dicantumkan;"Kecerdasan tinggi, kreatif, pekerja-keras, disiplin, kerja team
 Lebih disukai D3/S1 Teknik atau Fisika, lancar bhs. Inggris S.Ak. Jujur, teliti, cerdas, kerja team, bisa bahasa Inggris Pengalaman accounting min.3 tahun
 Dapat membuat laporan keuangan, lebih disukai paham menggunakan ERP system.";-;2026-05-19;Karir.com
